review_id,review,rating,date,source,bank
107,Cbe,5,2025-10-27,Google Play,Commercial Bank of Ethiopia
108,Active and granted system,5,2025-10-27,Google Play,Commercial Bank of Ethiopia
109,fast app,4,2025-10-27,Google Play,Commercial Bank of Ethiopia
110,cool 😎,5,2025-10-27,Google Play,Commercial Bank of Ethiopia
111,Galaxy A10s,3,2025-10-26,Google Play,Commercial Bank of Ethiopia
112,the best apps,5,2025-10-26,Google Play,Commercial Bank of Ethiopia
113,arif app new,5,2025-10-26,Google Play,Commercial Bank of Ethiopia
114,laga Bari biranch,5,2025-10-26,Google Play,Commercial Bank of Ethiopia
115,ነነሠነሠሠነሠሠሠሠነየነ,5,2025-10-26,Google Play,Commercial Bank of Ethiopia
116,I would like to suggest you improve the time out as it takes the money and doesn't return it back until the next day.,3,2025-10-25,Google Play,Commercial Bank of Ethiopia
117,Attractive,5,2025-10-25,Google Play,Commercial Bank of Ethiopia
118,mite,5,2025-10-24,Google Play,Commercial Bank of Ethiopia
119,useful,5,2025-10-24,Google Play,Commercial Bank of Ethiopia
120,nice,4,2025-10-23,Google Play,Commercial Bank of Ethiopia
121,"not good, not bad!",3,2025-10-23,Google Play,Commercial Bank of Ethiopia
122,very good,5,2025-10-23,Google Play,Commercial Bank of Ethiopia
123,እጅግ በጣም አስቀያሚ ጠቁአም ዘረፋ በሚባል ደርጃ የ አገልግሎት የሚቀበል ያልሰራበትን የገዛ ገንዝበባችንን ተዘረፍን ከ 100ብር 10ብር የአገልግሎት ማስከፈል ምን ማለት ነው እባካችሁ እዩት እስትይ ከ ሞባይል ባንክ ወደ ampsa አስተላልፉና እዩት በጣም ይገርማል ሌባ ብያቸዋልሁ,1,2025-10-22,Google Play,Commercial Bank of Ethiopia
124,good job,5,2025-10-22,Google Play,Commercial Bank of Ethiopia
125,imp,5,2025-10-22,Google Play,Commercial Bank of Ethiopia
126,super fast app,5,2025-10-21,Google Play,Commercial Bank of Ethiopia
127,good app,4,2025-10-20,Google Play,Commercial Bank of Ethiopia
128,useful,5,2025-10-20,Google Play,Commercial Bank of Ethiopia
129,"The app has a nice design and useful features like balance check and transfers, but it’s unstable and often fails to connect. It also forces users to turn off Developer Options, which is unnecessary — other banking apps work fine without that. Many people use Developer Mode for normal reasons. Please fix performance issues, remove this restriction, and add biometric login for better security and convenience",2,2025-10-19,Google Play,Commercial Bank of Ethiopia
130,cbe,4,2025-10-18,Google Play,Commercial Bank of Ethiopia
131,"it says ""ti is work any more in your device"" what can i do??",1,2025-10-18,Google Play,Commercial Bank of Ethiopia
132,blah blah blah,5,2025-10-18,Google Play,Commercial Bank of Ethiopia
133,good,5,2025-10-17,Google Play,Commercial Bank of Ethiopia
134,bad ግዴታ መሆንሁ,1,2025-10-17,Google Play,Commercial Bank of Ethiopia
135,best,5,2025-10-17,Google Play,Commercial Bank of Ethiopia
136,CBE no.1,5,2025-10-17,Google Play,Commercial Bank of Ethiopia
137,good,5,2025-10-17,Google Play,Commercial Bank of Ethiopia
138,good,5,2025-10-16,Google Play,Commercial Bank of Ethiopia
139,"it's not work correctly when it's needed sometimes, but it works sometimes though",2,2025-10-16,Google Play,Commercial Bank of Ethiopia
140,its easy to use and more secured than the previous one. i love it and appreciate commercial bank of ethiopia for every time update.,5,2025-10-16,Google Play,Commercial Bank of Ethiopia
141,gooof,5,2025-10-16,Google Play,Commercial Bank of Ethiopia
142,"Suddenly the cbe application I was using stopped working and called callcenter, I was told it's because it expired and I should vist any branch to fix it. So I went to CBE Silassie branch.After filling a form they gave me, I sat down and waited until they finish fixing 2 customer's case who arrived before me. But then when it was my turn ppl who came after me with same mobile banking and even Atm card cases were finishing up and leaving I had to get back to my work so I left.with no service.why?",1,2025-10-16,Google Play,Commercial Bank of Ethiopia
143,Best app,5,2025-10-16,Google Play,Commercial Bank of Ethiopia
144,best,5,2025-10-15,Google Play,Commercial Bank of Ethiopia
145,still not perfect like before,1,2025-10-15,Google Play,Commercial Bank of Ethiopia
146,This app dash board is disturbing me. it is not showing me traxation and my balance while displaying others option on dashboard. I think it is a risk full app😭😭😭🤤🤤,1,2025-10-15,Google Play,Commercial Bank of Ethiopia
147,APPLIED,1,2025-10-14,Google Play,Commercial Bank of Ethiopia
148,10 years ago,4,2025-10-14,Google Play,Commercial Bank of Ethiopia
149,Asefa Obsa,5,2025-10-14,Google Play,Commercial Bank of Ethiopia
150,best app,4,2025-10-14,Google Play,Commercial Bank of Ethiopia
